Author: Key:309
Author:""anan'in"" Key:1603
Author:""d'ambrosio"" Key:1942
Author:""d'andrea"" Key:5408
Author:""d'ascanio"" Key:1847
Author:""d'avanzo"" Key:4372
Author:""dal'bo"" Key:757
Author:""figueroa-o'farrill"" Key:1111
Author:""giambo'"" Key:4347
Author:""gol'dshtein"" Key:3557
Author:""grigor'yan"" Key:5609
Author:""krasil'shchik"" Key:3487
Author:""o'hara"" Key:990
Author:""o'loughlin"" Key:2906
Author:""podesta'"" Key:4296
Author:""red'kov"" Key:5349
Author:""vasil'ev"" Key:1270
Author:'-alizadeh' Key:5379
Author:'aaber' Key:4338
Author:'aamari' Key:2557
Author:'aazami' Key:811
Author:'abad' Key:3701
Author:'abadoglu' Key:2983
Author:'abanto' Key:4059
Author:'abardia' Key:4610
Author:'abbena' Key:5371
Author:'abbondandolo' Key:804
Author:'abdel-all' Key:3452
Author:'abdel-aziz' Key:692
Author:'abdel-megied' Key:3451
Author:'abdel-salam' Key:4883
Author:'abdelhak' Key:5954
Author:'abdelmalek' Key:4009
Author:'abdi' Key:4806
Author:'abed' Key:4258
Author:'abedi' Key:1505
Author:'abedi-fardad' Key:1831
Author:'abert' Key:212
Author:'abhishek' Key:2446
Author:'abiev' Key:3229
Author:'abja' Key:2363
Author:'abolarinwa' Key:3985
Author:'abramov' Key:3776
Author:'abreu' Key:619
Author:'abrosimov' Key:307
Author:'abrunheiro' Key:5617
Author:'absil' Key:5797
Author:'acet' Key:2788
Author:'acevedo' Key:1859
Author:'acharya' Key:1384
Author:'ache' Key:848
Author:'acosta' Key:1654
Author:'adachi' Key:3424
Author:'adames' Key:3565
Author:'adams' Key:2324
Author:'adeboye' Key:2852
Author:'adelstein' Key:2892
Author:'adiprasito' Key:113
Author:'adler' Key:1167
Author:'adriana' Key:5920
Author:'afsari' Key:5020
Author:'afuni' Key:5029
Author:'agafonov' Key:1434
Author:'aganagic' Key:2718
Author:'agaoka' Key:2883
Author:'aghasi' Key:5958
Author:'aghayan' Key:140
Author:'agol' Key:4515
Author:'agore' Key:3312
Author:'agostiniani' Key:4678
Author:'agrachev' Key:57
